X;Result
-5.5000000000;1.0043347425
-5.4000000000;0.8211106430
-5.3000000000;0.6656484194
-5.2000000000;0.5303386992
-5.1000000000;0.4083031781
-5.0000000000;0.2959110758
-4.9000000000;0.1901222525
-4.8000000000;0.0889100918
-4.7000000000;-0.0221434886
-4.6000000000;-0.1154659516
-4.5000000000;-0.2155705786
-4.4000000000;-0.3228706636
-4.3000000000;-0.4373388755
-4.2000000000;-0.5622895533
-4.1000000000;-0.7021416781
-4.0000000000;-0.8631222286
-3.9000000000;-1.0545020499
-3.8000000000;-1.2909313065
-3.7000000000;-1.6008326770
-3.6000000000;-2.0268093903
-3.5000000000;-2.6704245561
-3.4000000000;-3.7856656400
-3.3000000000;-6.2692489043
-3.2000000000;-17.2049839058
-3.1000000000;24.2477766809
-3.0000000000;7.0277217436
-2.9000000000;4.0612041719
-2.8000000000;2.8136554889
-2.7000000000;2.1157638581
-2.6000000000;1.6624128960
-2.5000000000;1.3387290999
-2.4000000000;1.0905939927
-2.3000000000;0.8928615814
-2.2000000000;0.7275267873
-2.1000000000;0.5846209809
-2.0000000000;0.4575121818
-1.9000000000;0.3415368334
-1.8000000000;0.2332303316
-1.7000000000;0.1324174707
-1.6000000000;0.0349855652
-1.5000000000;-0.0723748780
-1.4000000000;-0.1728153019
-1.3000000000;-0.2777315048
-1.2000000000;-0.3888241532
-1.1000000000;-0.5089859444
-1.0000000000;-0.6415811025
-0.9000000000;-0.7933051253
-0.8000000000;-0.9710995702
-0.7000000000;-1.1871907041
-0.6000000000;-1.4616749443
-0.5000000000;-1.8304800636
-0.4000000000;-2.3652200978
-0.3000000000;-3.2329703538
-0.2000000000;-4.9332237477
-0.1000000000;-9.9666528244
-0.0000000000;Infinity
0.1000000000;9.9666528244
0.2000000000;4.9332237477
0.3000000000;3.2329703538
0.4000000000;2.3652200978
0.5000000000;1.8304800636
0.6000000000;1.4616749443
0.7000000000;1.1871907041
0.8000000000;0.9710995702
0.9000000000;0.7933051253
1.0000000000;0.6415811025
1.1000000000;0.5089859444
1.2000000000;0.3888241532
1.3000000000;0.2777315048
1.4000000000;0.1728153019
1.5000000000;0.0723748780
1.6000000000;-0.0349855652
1.7000000000;-0.1324174707
1.8000000000;-0.2332303316
1.9000000000;-0.3415368334
2.0000000000;-0.4575121818
2.1000000000;-0.5846209809
2.2000000000;-0.7275267873
2.3000000000;-0.8928615814
2.4000000000;-1.0905939927
2.5000000000;-1.3387290999
2.6000000000;-1.6624128960
2.7000000000;-2.1157638581
2.8000000000;-2.8136554889
2.9000000000;-4.0612041719
3.0000000000;-7.0277217436
3.0000000000;-7.0277217436
